inventarisnummer|Straat|Thv|X|Y|GSM|Deelgemeente
FT44|W BUYTEWECHSTR|50|51,9072914124|4,4603600502||Delfshaven
FT440|HENEGOUWERPLN|2|51,9213409424|4,462870121||Delfshaven
FT441|HENEGOUWERPLN|2|51,9213409424|4,462870121||Delfshaven
FT442|BREEWG|16|51,8907012939|4,5185799599||Feijenoord
FT443|BAKKERSTR| 29/31|51,8856010437|4,4632701874||Charlois
FT444|BENTINCKLN|29|51,8917999268|4,4896998405||Noord
FT445|RIEKEROORD|21|51,8830718994|4,5520200729||IJsselmonde
FT446|SPOORSNGL|48|51,9278106689|4,467979908||Noord
FT447|STADHOUDERSWG|117|51,9307518005|4,4597301483||Noord
FT448|BERGSELN|328|51,9329109192|4,4640398026||Noord
FT449|PROVENIERSSTR|32|51,9272689819|4,4730100632||Noord
FT45|ROCHUSSENSTR|201|51,9112510681|4,4618501663||Delfshaven
FT450|A VD DOESLN|119|51,9585800171|4,4925699234||Hillegersberg
FT451|WEVERSHOEKSTR|65|51,8899116516|4,4910202026||Charlois
FT452|ROCHUSSENSTR|331|51,9090003967|4,4540901184||Delfshaven
FT453|HOOIDRIFT|13|51,9151306152|4,4525399208||Delfshaven
FT454|GR FLORISSTR|110|51,9188919067|4,4566597939||Delfshaven
FT455|ADAMSHOFSTR|naast 149|51,9221382141|4,5088400841||Kralingen/Crooswijk
FT456|SAENREDAMPLN|3|51,9384384155|4,4219999313||Overschie
FT457|NOORDSNGL|30|51,9293708801|4,4810099602||Noord
FT458|STADHOUDERSWG|117|51,9307518005|4,4597301483||Noord
FT459|MEYERSPLN |19|51,9562187195|4,4664998055||Hillegersberg
FT46|GR FLORISSTR|64||||Delfshaven
FT460|MATHENESSERLN|424|51,9141998291|4,4494400024||Delfshaven
FT461|MATHENESSERLN|424|51,9141998291|4,4494400024||Delfshaven
FT462|S GRAVENDYKWAL|82-84|51,9160308838|4,4630298615||Centrum
FT463|S GRAVENDYKWAL|82-84|51,9160308838|4,4630298615||Centrum
FT464|S GRAVENDYKWAL|82-84|51,9160308838|4,4630298615||Centrum
FT465|1E ST JANSHOF|15|51,9235191345|4,4956698418||Centrum
FT466|WOLPHAERTSBOCHT|347|51,892288208|4,4803900719||Charlois
FT467|B JUNGERIUSSTR|13|51,8906517029|4,4866600037||Charlois
FT468|STATENWG|56|51,9324798584|4,4570198059||Noord
FT469|BISSCHOPSTR|33|51,9329414368|4,4567499161||Noord
FT47|MAASKD|104|51,9134101868|4,493060112||Feijenoord
FT470|W G WITTEVEENPLN|19|51,9072494507|4,4996900558||Feijenoord
FT471|W G WITTEVEENPLN|19|51,9072494507|4,4996900558||Feijenoord
FT472|SCHIEDAMSESNGL|181|51,9137191772|4,4788298607||Centrum
FT473|KORTENAERSTR|38|51,9134407043|4,4763598442||Centrum
FT474|KORTENAERSTR|38|51,9134407043|4,4763598442||Centrum
FT475|HARINGVLIET|2|51,9206581116|4,4980301857||Centrum
FT476|HENEGOUWERLN|124|51,9192886353|4,4633998871||Centrum
FT477|AKELEISTR|24|51,9213104248|4,4634199142||Centrum
FT478|CLEYBURCHSTR|16|51,934261322|4,4572000504||Noord
FT479|1E PYNACKERSTR|113|51,9338188171|4,4812397957||Noord
FT48|2E PIOENSTR|41-45|51,894329071|4,5031199455||Feijenoord
FT480|TOLLENSSTR|108|51,93019104|4,4809498787||Noord
FT481|TOLLENSSTR|96|51,9305000305|4,4812397957||Noord
FT482|SCHIEWG|7|51,9312896729|4,4687399864||Noord
FT483|CARNISSELN|55|51,8890190125|4,4785599709||Charlois
FT484|BURG MEINESZLN|79|51,9188194275|4,4510197639||Delfshaven
FT485|BARONIESTR|54|51,9433288574|4,4767398834|0633579756|Hillegersberg
FT486|DORDTSELN|214|51,8906784058|4,4940800667|0653151487|Feijenoord
FT487|DORDTSELN|234|51,8902702332|4,4941000938|0653151495|Feijenoord
FT488|DORDTSELN|84|51,8950500488|4,4942498207|0653151967|Feijenoord
FT489|NARCISSENSTR|53|51,8919487|4,4949297905|0653152069|Feijenoord
FT49|DR ZAMENHOFSTR|57|51,9235801697|4,5015101433||Kralingen/Crooswijk
FT490|DAHLIASTR| 17|51,8952407837|4,5041599274|0653152219|Feijenoord
FT491|PIMPERNELSTR|37|51,8945808411|4,49559021|0653152239|Feijenoord
FT492|STRUITENWG|42|51,8861312866|4,4629402161|0653152289|Charlois
FT493|SCHERE|218|51,8748703003|4,4847798347|0653152360|Charlois
FT494|KATEND LAGEDK|118|51,8928985596|4,4828701019|0653152398|Charlois
FT495|K DE STOUTEPLN|1|51,8939704895|4,4711699486|0653152496|Charlois
FT496|PR MAURITSSNGL|21|51,9378585815|4,4241499901|0653152502|Overschie
FT497|PR MAURITSSNGL|21|51,9378585815|4,4241499901|0653150924|Overschie
FT498|BEUKELSDK|20|51,921710968|4,4589300156|0653150286|Delfshaven
FT499|BEUKELSWG|61|51,9200286865|4,4444198608|0653150340|Delfshaven
FT5|ESSENBURGSNGL|22B|51,9228286743|4,4598898888||Delfshaven
FT50|DR ZAMENHOFSTR|59|51,923500061|4,5014600754||Kralingen/Crooswijk
FT500|BEUKELSWG|8|51,9198417664|4,4470000267|0653151660|Delfshaven
FT501|ESSENBURGSTR|45|51,9221000671|4,4520101547|0653151706|Delfshaven
FT502|HEEMRAADSSNGL|197|51,9162483215|4,4543199539|0653150378|Delfshaven
FT503|HEEMRAADSSNGL|253|51,9143295288|4,4544401169|0653150563|Delfshaven
FT504|MATHENESSERLN|256|51,9143791199|4,4446001053|0653150686|Delfshaven
FT505|V CITTERSSTR|28|51,9187507629|4,4467701912|0653150716|Delfshaven
FT506|J V AVENNESSTR|9|51,920791626|4,4594202042|0653150793|Delfshaven
FT507|S MULLERPLN|3|51,913608551|4,447329998|0653150819|Delfshaven
FT508|BEUKELSDK|106|51,9207115173|4,452630043|0653149825|Delfshaven
FT509|BURG MEINESZLN|13|51,9175796509|4,4537000656|0653149494|Delfshaven
FT51|MOLENVYVER|25|51,9558601379|4,4747800827||Hillegersberg
FT510|ESSENBURGSNGL|103|51,9215316772|4,4473099709|0653149643|Delfshaven
FT511|MATHENESSERLN|452|51,9145584106|4,4444699287|0653149683|Delfshaven
FT512|PUPILLENSTR|28|51,9121894836|4,4500198364|0653149708|Delfshaven
FT513|BERGSELN|57|51,9382286072|4,4741401672|0633579773|Noord
FT514|BERGSELN|238/244|51,9353294373|4,4709200859|0633579772|Noord
FT515|BERGSELN|238/244|51,9353294373|4,4709200859|0633579770|Noord
FT516|BESEMERSTR|10|51,9332389832|4,4595298767|0633579769|Noord
FT517|A KUYPERLN|73/75|51,9343490601|4,4629797935|0633579768|Noord
FT518|BERKELSELN|74|51,9374694824|4,470290184|0633579744|Noord
FT519|DELFGAAUWSTR|48|51,9388618469|4,4716601372|0633579743|Noord
FT52|K VD BERGELN|34|51,9571495056|4,4912900925||Hillegersberg
FT520|G V PRINSTERERSTR|23|51,9347381592|4,4615502357|0633579742|Noord
FT521|KL COOLSTR|36|51,9267082214|4,46585989|0633579741|Noord
FT522|NOBELSTR|88|51,9324607849|4,4588499069|0633579740|Noord
FT523|NOBELSTR|101|51,9315185547|4,4596300125|0633579739|Noord
FT524|NOLENSSTR|67|51,9300994873|4,462870121|0633579738|Noord
FT525|NOORDERHAVENKD|21|51,9348907471|4,458799839|0633579737|Noord
FT526|NOORDERHAVENKD|47|51,9343185425|4,4592900276|0633579736|Noord
FT527|NOORDERHAVENKD|87|51,9334411621|4,460050106|0633579735|Noord
FT528|NOORDSNGL|33|51,9298210144|4,4808998108|0633579734|Noord
FT529|UNGERPLN|12|51,9291610718|4,4714798927|0633579733|Noord
FT53|PRINSENHOF|27|51,9230690002|4,4871301651||Centrum
FT530|NOORDSNGL|134|51,9311981201|4,4763598442|0633579732|Noord
FT531|DE S LOHMANLN|79|51,936340332|4,4669098854|0633579731|Noord
FT532|SCHEPENSTR|56|51,9299201965|4,4662399292|0633579730|Noord
FT533|SCHEPENSTR|78|51,9286384583|4,4649300575|0633579729|Noord
FT534|SCHEPENSTR|93|51,9280395508|4,4641299248|0633579728|Noord
FT535|SCHEPENSTR|94|51,9275894165|4,4635400772|0633579727|Noord
FT536|A KUYPERLN|56|51,934879303|4,4645600319|0633579726|Noord
FT537|STATIONSSNGL|63|51,9253883362|4,4652700424|0633579725|Noord
FT538|STATIONSSNGL|63|51,9253883362|4,4652700424|0633579724|Noord
FT539|BESEMERSTR|10|51,9332389832|4,4595298767|0633579723|Noord
FT54|PRINSENHOF|13|51,9234809875|4,4873399734||Centrum
FT540|HEEMRAADSSNGL|205|51,9159584045|4,4543399811|0653155423|Delfshaven
FT541|SPOORSNGL|69|51,9260902405|4,4682397842|0653155450|Noord
FT542|VIRULYPLN|11|51,9197311401|4,4507098198|0653155545|West
FT543|MATHENESSERLN|346|51,9117202759|4,4467802048|0653155680|West
FT544|SCHIETBAANLN|112|51,9156799316|4,456099987|0653155769|Centrum
FT545|SCHIETBAANLN||51,9156799316|4,4558501244|0653155823|Centrum
FT546|HEEMRAADSSNGL|239|51,9149017334|4,454390049|0653155860|Delfshaven
FT547|PERSYNSTR|10|51,9206581116|4,4565300941|0653156067|Delfshaven
FT548|MATHENESSERDK|295|51,9151916504|4,4439301491||Delfshaven
FT549|MATHENESSERDK|295||||Delfshaven
FT55|TOMMANDERSHOF|107e|51,9194908142|4,4733200073||Centrum
FT550|MATHENESSERDK|305||||Delfshaven
FT551|MATHENESSERDK|309||||Delfshaven
FT552|STADHOUDERSWG|112|51,9305496216|4,4596600533|0633540967|Noord
FT553|MATHENESSERLN|209|||0633540968|Centrum
FT554|2E JERICHOSTR|11|51,930809021|4,5075597763|0633540969|Noord
FT555|NOORDSNGL|26-28|||0633540970|Noord
FT556|BEUKELSWG|86|51,9200592041|4,4440698624|0633540971|Delfshaven
FT557|DELFGAAUWSTR|51|51,9388504028|4,4716300964|0633540972|Noord
FT558|SCHERMLN|2|51,917011261|4,4625701904|0633540973|Delfshaven
FT559|ESSENBURGSNGL|15|51,9228782654|4,4606499672|0633540974|Delfshaven
FT56|GAFFELSTR|108|51,9192390442|4,4682497978||Centrum
FT560|ESSENBURGSNGL|139|51,9209098816|4,4447398186|0633540975|Delfshaven
